scaffold,start,end,mid,sites,pi_Species1,pi_Species2,dxy_Species1_Species2,Fst_Species1_Species2
1,9250001,9300000,9294656,1004,0.0444,0.1172,0.1765,0.3866
1,9300001,9350000,9312392,1817,0.0562,0.1117,0.1654,0.3328
1,9350001,9400000,9382227,1646,0.023,0.1186,0.1558,0.4055
1,9400001,9450000,9430297,1167,0.0179,0.1193,0.1911,0.5088
1,9450001,9500000,9473762,2067,0.0504,0.1216,0.1718,0.3447
1,9500001,9550000,9520107,1117,0.0127,0.125,0.2131,0.5545
1,9550001,9600000,9583431,2227,0.0028,0.1304,0.2181,0.5862
1,9600001,9650000,9620640,2716,0.0059,0.1224,0.2953,0.6881
1,9700001,9750000,9717782,582,1.00E-04,0.111,0.3272,0.7561
1,10150001,10200000,10170146,969,0.0399,0.134,0.2096,0.4352
1,10250001,10300000,10271640,1230,0.0118,0.117,0.1312,0.3811
1,10300001,10350000,10323059,833,0.0159,0.1293,0.1466,0.3745
1,10450001,10500000,10478188,1905,0.051,0.1149,0.143,0.2744
1,10500001,10550000,10525077,3261,0.0584,0.1141,0.1557,0.2924
1,10550001,10600000,10573138,2501,0.033,0.1119,0.1328,0.3131
1,10600001,10650000,10625077,1531,0.0143,0.1212,0.1538,0.4279
1,10650001,10700000,10670606,1156,0.0023,0.1167,0.1222,0.3965
1,10700001,10750000,10743269,781,0,0.1147,0.1663,0.5467
1,10750001,10800000,10767422,2498,6.00E-04,0.1242,0.1655,0.5101
1,10800001,10850000,10832801,1867,0.0136,0.1247,0.2074,0.542
1,10850001,10900000,10870562,1562,0.0411,0.1239,0.2057,0.4464
1,10900001,10950000,10920290,855,0.0319,0.1182,0.2407,0.5491
1,10950001,11000000,10978802,1232,0.0048,0.1109,0.1822,0.5687
1,11000001,11050000,11029883,1942,0.0215,0.1167,0.1987,0.5173
1,11050001,11100000,11074294,1624,0.0362,0.1082,0.1929,0.4741
1,11100001,11150000,11116325,2159,0.0456,0.1075,0.1894,0.4362
1,11150001,11200000,11181356,1831,0.0066,0.1086,0.2214,0.6336
1,11200001,11250000,11224017,1348,0.008,0.0967,0.2168,0.6534
1,11250001,11300000,11280250,998,0.0091,0.1108,0.1913,0.5678
1,11300001,11350000,11325949,1162,0.005,0.1122,0.1541,0.4999
1,11350001,11400000,11374723,591,0.0108,0.1119,0.1453,0.4493
1,11400001,11450000,11424673,668,0.0023,0.1248,0.1332,0.406
1,11450001,11500000,11483829,2411,0.0691,0.122,0.1915,0.3374
1,11500001,11550000,11524586,1337,0.0531,0.1269,0.2006,0.3927
1,11550001,11600000,11570777,1424,0.0058,0.1247,0.1409,0.4154
1,11600001,11650000,11624533,1600,0.0485,0.1142,0.1663,0.3542
1,11650001,11700000,11680862,696,0.012,0.1219,0.1216,0.3268
1,11700001,11750000,11728804,2129,0.0221,0.1175,0.1687,0.4469
1,11750001,11800000,11769414,1646,0.0164,0.1228,0.1647,0.444
1,11800001,11850000,11827907,983,0.0036,0.1181,0.1199,0.3751
1,11850001,11900000,11873011,2167,0.0334,0.1163,0.1504,0.3565
1,11900001,11950000,11920463,1849,0.0208,0.118,0.1826,0.483
1,11950001,12000000,11966975,2249,0.0479,0.1259,0.1786,0.3595
1,12000001,12050000,12034478,1211,0.006,0.1227,0.1566,0.4672
1,12050001,12100000,12065221,1396,0.0234,0.1252,0.1806,0.4492
1,12100001,12150000,12136295,1255,0.001,0.1314,0.2163,0.5884
1,12200001,12250000,12240752,1720,0.0417,0.1154,0.1515,0.3318
1,12250001,12300000,12266058,2558,0.0449,0.1087,0.1582,0.3583
1,12300001,12350000,12324270,723,0.0012,0.1307,0.208,0.5748
1,12350001,12400000,12380707,701,0.0316,0.1081,0.1751,0.452
1,12400001,12450000,12430951,2241,0.0445,0.1195,0.1693,0.3621
1,12450001,12500000,12476419,2422,0.0099,0.1152,0.1562,0.4728
1,12500001,12550000,12507230,670,6.00E-04,0.1332,0.1711,0.4952
1,12550001,12600000,12568831,1215,2.00E-04,0.1193,0.1825,0.5647
1,12600001,12650000,12623919,721,0.007,0.1152,0.1662,0.511
1,12650001,12700000,12676086,1150,0.0426,0.1111,0.1798,0.416
1,12700001,12750000,12727705,743,0.0143,0.1227,0.1581,0.4356
1,12750001,12800000,12775631,1276,0.0281,0.1131,0.1503,0.3858
1,12800001,12850000,12823276,976,0.0031,0.119,0.1796,0.547
1,12850001,12900000,12883235,2937,0.0555,0.1226,0.1789,0.3448
1,12900001,12950000,12920662,3318,0.0643,0.1319,0.2071,0.3647
1,12950001,13000000,12972291,1996,0.001,0.1467,0.2358,0.5798
1,13000001,13050000,13019581,1946,0.0231,0.14,0.1892,0.4318
1,13050001,13100000,13082376,1587,0.0173,0.1259,0.1417,0.3638
1,13100001,13150000,13130949,1283,0.0158,0.122,0.1631,0.4448
1,13200001,13250000,13235153,1417,0.0317,0.1151,0.1574,0.3864
1,13300001,13350000,13333715,3588,0.0595,0.1146,0.154,0.2829
1,13350001,13400000,13365667,1286,0.0384,0.1102,0.1486,0.3494
1,13400001,13450000,13422518,3233,0.0305,0.1218,0.2132,0.5002
1,13450001,13500000,13477099,2434,0.0227,0.112,0.1906,0.509
1,13500001,13550000,13521874,1304,0.0193,0.1164,0.2125,0.5511
1,13550001,13600000,13574088,1025,0.003,0.1171,0.2363,0.6459
1,13600001,13650000,13634892,1236,0.0109,0.1245,0.2027,0.5444
1,13650001,13700000,13670134,637,0,0.1222,0.1458,0.4666
1,13700001,13750000,13728304,627,0.0026,0.1281,0.1856,0.534
1,13750001,13800000,13765676,701,0,0.1192,0.1888,0.5779
1,13850001,13900000,13871958,1401,0.0256,0.126,0.2252,0.5276
1,13900001,13950000,13936661,1879,0.0526,0.1206,0.1521,0.2837
1,13950001,14000000,13966221,2467,0.0495,0.1127,0.1679,0.3588
1,14000001,14050000,14024547,1332,0.0136,0.1215,0.149,0.4164
1,14050001,14100000,14076803,1547,0.0221,0.1254,0.1522,0.3789
1,14100001,14150000,14125851,1817,0.0405,0.1191,0.157,0.3426
1,14150001,14200000,14167208,543,0.0201,0.1295,0.1816,0.4524
1,14200001,14250000,14238293,1799,0.0537,0.1101,0.1396,0.2668
1,14250001,14300000,14269722,4513,0.0564,0.108,0.1519,0.3027
1,14300001,14350000,14314877,890,0.0589,0.1114,0.209,0.4265
1,14350001,14400000,14373324,574,0.0035,0.1114,0.1387,0.4664
1,14400001,14450000,14412256,1004,6.00E-04,0.1142,0.163,0.5366
1,14500001,14550000,14532205,812,0.031,0.1188,0.1488,0.3533
1,14550001,14600000,14568192,1647,0.0231,0.1186,0.1419,0.3631
1,14600001,14650000,14624142,1583,0.0018,0.1106,0.1129,0.3866
1,14650001,14700000,14679216,2924,0.0165,0.124,0.1418,0.3733
1,14700001,14750000,14720012,2332,0.0461,0.1214,0.1632,0.3358
1,14750001,14800000,14772194,4344,0.0655,0.1034,0.1384,0.2421
1,14800001,14850000,14824647,1404,0.0481,0.115,0.1685,0.3594
1,14850001,14900000,14889237,1010,0.0567,0.1071,0.1485,0.2936
1,14950001,15000000,14979301,1777,8.00E-04,0.1128,0.1189,0.4073
1,15000001,15050000,15016108,2032,0.0402,0.1148,0.1304,0.2684
1,15050001,15100000,15074987,2785,0.0167,0.119,0.146,0.4017
1,15100001,15150000,15122522,2119,0.0308,0.1167,0.18,0.4434
1,15150001,15200000,15172431,1303,0.0067,0.1088,0.1843,0.5712
